id,year,author_or_institution,title,source_type,book_use,url
rsd-353,2022,Nicholas Burns / @USAmbChina,First post-lockdown trip from Beijing to Wuhan,official_social_primary,First-person ambassadorial voice; travel inside China; status ID recovered from contemporaneous USC embed,https://twitter.com/USAmbChina/status/1535803125201702912
rsd-354,2022,USC Center on Public Diplomacy,Nicholas Burns: Influencer? The Twitter Diplomacy of Biden's New China Ambassador,secondary_social_analysis,Contemporaneous analysis preserving Burns posts from Wuhan including Celtics fandom NBA viewing hiking and democratic self-description; useful independent preservation layer,https://uscpublicdiplomacy.org/blog/nicholas-burns-influencer-twitter-diplomacy-bidens-new-china-ambassador
rsd-355,2023,Nicholas Burns / @USAmbChina,NYU Shanghai students faculty and leadership,official_social_primary,Education and exchange as person-to-person diplomacy; preserved independently on Wikimedia Commons,https://twitter.com/USAmbChina/status/1650761839180136450
rsd-356,2023,Nicholas Burns / @USAmbChina,Fudan University Center for American Studies students,official_social_primary,Education and exchange; direct evidence of student-facing public diplomacy in Shanghai,https://twitter.com/USAmbChina/status/1651485805490364416
rsd-357,2023,Nicholas Burns / @USAmbChina,Pitching a baseball in China,official_social_primary,Direct primary evidence of Burns using baseball visibly during his China posting; useful to baseball-public-diplomacy strand,https://twitter.com/USAmbChina/status/1676175025446039552
rsd-358,2023,Nicholas Burns / @USAmbChina,Temple of Heaven visit,official_social_primary,First-person cultural-travel register; supports portrait of ambassadorial presence beyond formal meetings,https://twitter.com/USAmbChina/status/1697922037011071318
rsd-359,2024,Nicholas Burns / @USAmbChina,Duke Kunshan educational ties,official_social_primary,Explicit support for stronger U.S.-China educational ties; exchange as strategic relationship infrastructure,https://twitter.com/USAmbChina/status/1764909169876914590
rsd-360,2024,Nicholas Burns / @USAmbChina,Yenching Academy future leaders,official_social_primary,Student exchange and long-horizon relationship building in Burns's own ambassadorial voice,https://twitter.com/USAmbChina/status/1778411498894659924
rsd-361,2024,Nicholas Burns / @USAmbChina,Chinese student visa applicants at Embassy Beijing,official_social_primary,Burns states that America's doors are open to Chinese students; concrete exchange-policy evidence,https://twitter.com/USAmbChina/status/1788112597205581826
rsd-362,2024,Nicholas Burns / @USAmbChina,Yunnan University academic reconnection,official_social_primary,Burns argues for rebuilding academic communities and increasing American students in China after pandemic separation,https://x.com/USAmbChina/status/1789926417859227751
rsd-363,2024,Nicholas Burns / @USAmbChina,Fudan and Harvard students in Shanghai,official_social_primary,Burns explicitly calls academic exchanges essential for future U.S. and Chinese leaders to know and understand one another,https://x.com/USAmbChina/status/1806264733810696434
rsd-364,2024,Nicholas Burns / @USAmbChina,Fourth of July in Shenyang — America the Beautiful,official_social_primary,Concise statement of what Burns chose to present as American identity abroad: landscape diversity rights and freedoms,https://x.com/USAmbChina/status/1808094537203830910
rsd-365,2024,Nicholas Burns / @USAmbChina,Next generation American China scholars — four Celtics fans,official_social_primary,High-value evidence that Burns spontaneously folded Boston Celtics fandom into an official embassy exchange with young China scholars,https://x.com/USAmbChina/status/1809558763784794512
rsd-366,2024,Nicholas Burns / @USAmbChina,Traditional Mongolian triathlon,official_social_primary,Humorous self-deprecating sports post from official account; evidence of embodied cultural engagement and personal voice,https://x.com/USAmbChina/status/1811279200793579929
rsd-367,2024,Nicholas Burns / @USAmbChina,Beijing baseball clinic — future Red Sox Nation,official_social_primary,Central primary source: Burns directly links Chinese youth baseball to Red Sox Nation while serving as U.S. ambassador,https://x.com/USAmbChina/status/1848646673523728693
rsd-368,2024,Wikimedia Commons,Ambassador Burns with Chinese baseball fans,primary_source_preservation,Independent public-domain preservation of Burns wearing Red Sox cap with Chinese baseball participants; records post text date source and authorship,https://commons.wikimedia.org/wiki/File:Ambassador_Burns_with_Chinese_baseball_fans.png
