id,year,author_or_institution,title,source_type,book_use,url
hundred-year-handoff-001,2026,U.S. Department of Energy,WIPP Closure & Institutional Control,agency guidance,Ch 1: passive institutional controls and 10000-year communication concept,https://www.wipp.energy.gov/closure-institutional-control.asp
hundred-year-handoff-002,1993,Sandia National Laboratories,Expert Judgment on Markers to Deter Inadvertent Human Intrusion into the Waste Isolation Pilot Plant,technical report,Ch 1: marker design principles interpretability and multiple communication layers,https://www.osti.gov/biblio/10117359
hundred-year-handoff-003,1998,U.S. Environmental Protection Agency,40 CFR Part 194 WIPP Certification Decision — Passive Institutional Controls,regulatory decision,Ch 1: requirements for markers records archives and other passive controls,https://wipp.energy.gov/library/CRA/BaselineTool/Documents/Regulatory%20Tools/04%2040%20CFR%20194%20Certification%20Decision%20Final%20Rule%20-%20Part%203.pdf
hundred-year-handoff-004,1996,U.S. Environmental Protection Agency,Response to Comments for 40 CFR Part 194,regulatory response,Ch 1: nuance that PIC effectiveness is not guaranteed for 10000 years,https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=P1006US3.txt
hundred-year-handoff-005,2022,Sandia National Laboratories,Looking 10000 years into the future,national laboratory article,Ch 1: WIPP depth role and long-term performance framing,https://www.sandia.gov/labnews/2022/08/25/looking-10000-years-into-the-future/
hundred-year-handoff-006,1991,Sandia National Laboratories,Expert judgement on inadvertent human intrusion into the Waste Isolation Pilot Plant,technical report,Ch 1: possible future societies and uncertainty factors,https://www.sandia.gov/research/publications/details/expert-judgement-on-inadvertent-human-intrusion-into-the-waste-isolation-pi-1991-12-01/
hundred-year-handoff-007,2026,U.S. Department of Energy,How Will Future Generations Be Warned?,agency fact sheet,Ch 1: conceptual marker system components and regulatory horizon,https://www.wipp.energy.gov/fctshts/pics.pdf
hundred-year-handoff-008,2026,Cologne Cathedral,History of Cologne Cathedral,official institutional history,Ch 2: 1248 beginning 1842 restart 1880 completion and nineteenth-century methods,https://www.koelner-dom.de/erleben/geschichte
hundred-year-handoff-009,2026,Cologne Cathedral,History of the Cologne Cathedral Workshop,official workshop history,Ch 2: lost medieval archive Riss F multigenerational plan and workshop financing,https://www.koelner-dom.de/downloads/geschichte-der-koelner-dombauhuette.pdf
hundred-year-handoff-010,2026,UNESCO World Heritage Centre,Cologne Cathedral,international heritage listing,Ch 2: staged construction and fidelity of nineteenth-century work to medieval plan,https://whc.unesco.org/en/list/292
hundred-year-handoff-011,2026,Cologne Cathedral,Zentral-Dombau-Verein,official institutional history,Ch 2: civic financing of completion and current preservation work,https://www.koelner-dom.de/unterstuetzen/zentral-dombau-verein
hundred-year-handoff-012,2026,Veneranda Fabbrica del Duomo di Milano,Veneranda Fabbrica del Duomo,official institutional history,Ch 2: stewardship institution established in 1387 and operating after more than 630 years,https://www.duomomilano.it/en/about-us/veneranda-fabbrica-duomo/
hundred-year-handoff-013,2026,Veneranda Fabbrica del Duomo di Milano,Duomo Construction Site,official operations page,Ch 2: craft knowledge passed across generations while technology evolves,https://www.duomomilano.it/en/about-us/the-duomo-construction-site/
hundred-year-handoff-014,2026,Veneranda Fabbrica del Duomo di Milano,Adopt a Statue,official conservation page,Ch 2: continuing replacement of unsafe marble elements,https://www.duomomilano.it/en/support/adopt-a-statue/
hundred-year-handoff-015,2026,National Aeronautics and Space Administration,NASA Knowledge Management,agency guidance,Ch 3: knowledge capture transfer and transition mechanisms,https://www.nasa.gov/learning-resources/for-professionals/appel-knowledge-management/
hundred-year-handoff-016,2022,National Aeronautics and Space Administration,Knowledge Capture and Transfer — A Guide for Supervisors,agency guidance,Ch 3: retaining critical knowledge during retirement and transition,https://appel.nasa.gov/wp-content/uploads/2022/03/kct-supervisors-guide.pdf
hundred-year-handoff-017,2022,National Aeronautics and Space Administration,Engineering Best Practices Part 2,agency interview,Ch 3: Steve Hirshorn on Shuttle operational knowledge lost through retirement moves and layoffs,https://www.nasa.gov/podcasts/small-steps-giant-leaps/small-steps-giant-leaps-episode-79-engineering-best-practices-part-2/
hundred-year-handoff-018,2011,National Aeronautics and Space Administration,Space Shuttle Guidance Navigation and Rendezvous Knowledge Capture Reports,technical report catalog,Ch 3: knowledge capture intended for future generations of engineers,https://ntrs.nasa.gov/citations/20110023477
hundred-year-handoff-019,2026,National Aeronautics and Space Administration,NASA Oral History Project List,agency archive,Ch 3: Space Shuttle Tacit Knowledge Capture project,https://www.nasa.gov/history/history-publications-and-resources/oral-histories/nasa-list/
hundred-year-handoff-020,2006,International Atomic Energy Agency,Managing Nuclear Knowledge,international technical publication,Ch 3: Finnish nuclear workforce tacit knowledge transfer and counterevidence on preserving old practices,https://www-pub.iaea.org/MTCD/Publications/PDF/Pub1235_web.pdf
hundred-year-handoff-021,2004,International Atomic Energy Agency,The Nuclear Power Industry's Ageing Workforce — Transfer of Knowledge to the Next Generation,international technical publication,Ch 3: tacit knowledge face-to-face transfer and support systems,https://www-pub.iaea.org/MTCD/Publications/PDF/te_1399_web.pdf
hundred-year-handoff-022,2008,International Atomic Energy Agency,Long Term Preservation of Information for Decommissioning Projects — Technical Reports Series No. 467,international technical publication,Ch 4: BBC Domesday digital-obsolescence case study,https://www-pub.iaea.org/MTCD/Publications/PDF/trs467_web.pdf
hundred-year-handoff-023,2026,Science Museum Group,BBC Domesday System / Philips LaserVision Player,museum collection record,Ch 4: hardware dependency and later data rescue,https://collection.sciencemuseumgroup.org.uk/objects/co8095649
hundred-year-handoff-024,2003,The National Archives and Ariadne,Domesday Redux — The Rescue of the BBC Domesday Project Videodiscs,archive case study,Ch 4: preservation and emulation rescue workflow,https://www.ariadne.ac.uk/issue/36/tna/
hundred-year-handoff-025,2024,Library of Congress,Sustainability of Digital Formats,library preservation guidance,Ch 4: sustainability factors for future digital usability,https://www.loc.gov/preservation/digital/formats/
hundred-year-handoff-026,2024,Library of Congress,Sustainability Factors,library preservation guidance,Ch 4: disclosure adoption transparency self-documentation dependencies patents and protection mechanisms,https://www.loc.gov/preservation/digital/formats/sustain/sustain.shtml
hundred-year-handoff-027,2025,National Archives and Records Administration,Digital Preservation Framework for Risk Assessment and Preservation Planning,archive preservation guidance,Ch 4: format risk action plans and significant properties,https://www.archives.gov/preservation/digital-preservation/risk
hundred-year-handoff-028,2023,National Archives and Records Administration,Ensuring Future Usability of Digital Files,archive preservation guidance,Ch 4: sustainable formats multiple copies refresh migration metadata and export,https://www.archives.gov/preservation/formats/video-future-usability.html
